L1_SDR;;;;;;;
01/09/2025 00:00;08/09/2025 00:00;;;;;;
12061 Atacadão Bangu;;;;;;;
elielton.polityto;;;;;;;
 ;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;CPCO 11 - Eco2Pack L1 - Master - Cam Congelados - CC01;
 ;Temp ambiente;Comp;Degelo;Temp evap;SH;Temp succao; 
2025-09-01 08:10:00.0;-13,5;1;1;-38,6;25;-13,6;
2025-09-01 08:15:00.0;-12,7;0;1;-35,8;23;-12,8;
2025-09-01 08:20:00.0;-12;0;1;-34,7;23,3;-11,4;
2025-09-01 08:25:00.0;-11,6;0;1;-34;24,7;-9,4;
2025-09-01 08:30:00.0;-10,9;0;1;-32,7;24,7;-8;
2025-09-01 08:35:00.0;-9,7;0;1;-34,4;27,4;-7;
2025-09-01 08:40:00.0;-8,7;0;1;-32,7;27;-5,8;
2025-09-01 08:45:00.0;-8,5;0;1;-34,2;29,3;-5;
2025-09-01 08:50:00.0;-7,7;0;1;-32,7;29,2;-3,6;
2025-09-01 08:55:00.0;-7,6;0;1;-28;27,5;-0,6;
2025-09-01 09:00:00.0;-8,5;1;0;-34,1;26,8;-7,3;
2025-09-01 09:05:00.0;-8,1;1;0;-34;25,7;-8,3;
2025-09-01 09:10:00.0;-7,8;1;0;-33,9;25,9;-8;
2025-09-01 09:15:00.0;-7,6;1;0;-34;26,3;-7,7;
2025-09-01 09:20:00.0;-7,2;1;0;-34;26,6;-7,5;
2025-09-01 09:25:00.0;-7,2;1;0;-34;26,6;-7,4;
2025-09-01 09:30:00.0;-6,4;1;0;-34;27,2;-6,8;
2025-09-01 09:35:00.0;-5,8;1;0;-33,9;27,7;-6,2;
2025-09-01 09:40:00.0;-6,2;1;0;-34;27,5;-6,4;
2025-09-01 09:45:00.0;-6,4;1;0;-34;27,4;-6,6;
2025-09-01 09:50:00.0;-8,4;1;0;-34,1;26,1;-8;
2025-09-01 09:55:00.0;-9,5;1;0;-34,1;24,9;-9,2;
2025-09-01 10:00:00.0;-10,4;1;0;-34;23,8;-10,2;
2025-09-01 10:05:00.0;-11,1;1;0;-34,1;23,3;-10,8;
2025-09-01 10:10:00.0;-11,4;1;0;-34,1;22,9;-11,2;
2025-09-01 10:15:00.0;-12;1;0;-34,1;22,3;-11,8;
2025-09-01 10:20:00.0;-12,6;1;0;-34;21,6;-12,4;
2025-09-01 10:25:00.0;-12,9;1;0;-33,9;21,1;-12,8;
2025-09-01 10:30:00.0;-13,2;1;0;-33,9;20,9;-13;
2025-09-01 10:35:00.0;-13,4;1;0;-34,1;20,8;-13,2;
2025-09-01 10:40:00.0;-13,6;1;0;-34;20,5;-13,5;
2025-09-01 10:45:00.0;-13,8;1;0;-33,9;20,2;-13,7;
2025-09-01 10:50:00.0;-13,5;1;0;-33,9;20,5;-13,4;
2025-09-01 10:55:00.0;-13,7;1;0;-34,1;20,5;-13,6;
2025-09-01 11:00:00.0;-12,5;1;0;-34;21,2;-12,8;
2025-09-01 11:05:00.0;-11,7;1;0;-34;22,3;-11,7;
2025-09-01 11:10:00.0;-12;1;0;-34;22,3;-11,7;
2025-09-01 11:15:00.0;-12,7;1;0;-34;21,6;-12,4;
2025-09-01 11:20:00.0;-13,1;1;0;-34,2;21,2;-12,9;
2025-09-01 11:25:00.0;-13,4;1;0;-33,9;20,7;-13,3;
2025-09-01 11:30:00.0;-13,8;1;0;-34;20,4;-13,6;
2025-09-01 11:35:00.0;-13,9;1;0;-34;20,2;-13,8;
2025-09-01 11:40:00.0;-14,1;1;0;-34;20;-14;
2025-09-01 11:45:00.0;-14;1;0;-33,8;19,8;-14;
2025-09-01 11:50:00.0;-11,7;1;0;-33,9;21,7;-12,2;
2025-09-01 11:55:00.0;-9,8;1;0;-33,9;23,5;-10,4;
2025-09-01 12:00:00.0;-8,6;1;0;-33,9;24,6;-9,3;
2025-09-01 12:05:00.0;-8,3;1;0;-33,9;25,4;-8,5;
2025-09-01 12:10:00.0;-7,9;1;0;-33,9;25,7;-8,2;
2025-09-01 12:15:00.0;-9,1;1;0;-34;25;-9;
2025-09-01 12:20:00.0;-9,3;1;0;-33,9;24,7;-9,2;
2025-09-01 12:25:00.0;-9,5;1;0;-34;24,6;-9,3;
2025-09-01 12:30:00.0;-9,4;1;0;-34;24,7;-9,3;
2025-09-01 12:35:00.0;-9,6;1;0;-34,1;24,8;-9,4;
2025-09-01 12:40:00.0;-11,2;1;0;-34;23,1;-10,9;
2025-09-01 12:45:00.0;-11,9;1;0;-34,1;22,4;-11,6;
2025-09-01 12:50:00.0;-12,4;1;0;-34;21,8;-12,2;
2025-09-01 12:55:00.0;-12,7;1;0;-34,1;21,5;-12,6;
2025-09-01 13:00:00.0;-12,9;1;0;-34;21,2;-12,8;
2025-09-01 13:05:00.0;-13,2;1;0;-34;21;-13;
2025-09-01 13:10:00.0;-13,4;1;0;-33,9;20,7;-13,3;
2025-09-01 13:15:00.0;-13,6;1;0;-33,9;20,4;-13,5;
2025-09-01 13:20:00.0;-13,7;1;0;-34;20,4;-13,6;
